384.410	0.264
385.047	0.264
385.684	0.264
386.321	0.264
386.958	0.264
387.595	0.263
388.233	0.263
388.870	0.263
389.507	0.263
390.144	0.264
390.781	0.264
391.418	0.265
392.055	0.265
392.692	0.264
393.329	0.264
393.966	0.263
394.603	0.264
395.240	0.264
395.878	0.264
396.515	0.263
397.152	0.262
397.789	0.263
398.426	0.264
399.063	0.264
399.700	0.264
400.337	0.264
400.974	0.263
401.611	0.263
402.248	0.263
402.885	0.262
403.523	0.263
404.160	0.263
404.797	0.264
405.434	0.264
406.071	0.263
406.708	0.263
407.345	0.265
407.982	0.264
408.619	0.264
409.256	0.264
409.893	0.265
410.530	0.265
411.168	0.265
411.805	0.266
412.442	0.266
413.079	0.266
413.716	0.266
414.353	0.266
414.990	0.266
415.627	0.266
416.264	0.267
416.901	0.267
417.538	0.265
418.175	0.265
418.813	0.264
419.450	0.264
420.087	0.263
420.724	0.263
421.361	0.261
421.998	0.262
422.635	0.261
423.272	0.262
423.909	0.261
424.546	0.261
425.183	0.262
425.820	0.262
426.458	0.262
427.095	0.262
427.732	0.261
428.369	0.263
429.006	0.262
429.643	0.261
430.280	0.262
430.917	0.262
431.554	0.263
432.191	0.264
432.828	0.264
433.465	0.263
434.103	0.264
434.740	0.263
435.377	0.264
436.014	0.264
436.651	0.265
437.288	0.265
437.925	0.265
438.562	0.265
439.199	0.265
439.836	0.264
440.473	0.264
441.110	0.264
441.748	0.263
442.385	0.263
443.022	0.264
443.659	0.264
444.296	0.263
444.933	0.263
445.570	0.262
446.207	0.262
446.844	0.263
447.481	0.264
448.118	0.264
448.755	0.265
449.393	0.264
450.030	0.265
450.667	0.265
451.304	0.264
451.941	0.264
452.578	0.265
453.215	0.264
453.852	0.263
454.489	0.264
455.126	0.263
455.763	0.263
456.401	0.263
457.038	0.264
457.675	0.264
458.312	0.264
458.949	0.265
459.586	0.265
460.223	0.265
460.860	0.265
461.497	0.265
462.134	0.266
462.771	0.266
463.408	0.266
464.046	0.266
464.683	0.264
465.320	0.263
465.957	0.263
466.594	0.265
467.231	0.265
467.868	0.265
468.505	0.265
469.142	0.265
469.779	0.266
470.416	0.266
471.053	0.266
471.691	0.266
472.328	0.266
472.965	0.267
473.602	0.268
474.239	0.269
474.876	0.268
475.513	0.268
476.150	0.267
476.787	0.266
477.424	0.267
478.061	0.268
478.698	0.268
479.336	0.267
479.973	0.265
480.610	0.265
481.247	0.265
481.884	0.265
482.521	0.265
483.158	0.264
483.795	0.263
484.432	0.263
